"UUID","Database ID","Title","Alternative Title","Contributor","Date","Date Start","Date End","Language","Description","Note","Subject Topical","Subject Name","Subject Geographic","Subject Temporal","Subject Title","Resource Type","Genre","Identifier BNumber","Identifier Accession Number","Identifier Call Number","Identifier ISBN","Identifier ISSN","Identifier Interview ID","Identifier Postcard ID","Identifier LCCN","Identifier OCLC/RLIN","Physical Description Extent","Physical Description Form","Publisher","Place Of Publication","Number of Items","Digital Collections URL"
"84b3c7b0-c618-012f-601d-58d385a7bc34",29020,"Narrative of a voyage in His Majesty's late ship Alceste, to the Yellow Sea ... with an account of her shipwreck in the straits of Gaspar.","","M'Leod, John (1777?-1820)","1817",1817,"","","","Ownership and Custodial History Note: Astor Library","","","","","","still image","Engravings","b12492950","","BEL (McLeod, J. Narrative of a voyage. 1817)","","","","","","2792438","2 p.l., 288 p. : front., plates (col.) 21 cm.","","John Murray","London",6,"http://digitalcollections.nypl.org/collections/84b3c7b0-c618-012f-601d-58d385a7bc34"
"c924e710-c618-012f-1ccd-58d385a7bc34",29041,"The Illustrated London news","","",1842,1842,2003,"English","","General Note: Duplicate numbers v. 22-27 (1853-1855) for History, 1853-1855 shelved in CL++.","","","","","","text | still image","Periodicals","b11324944","","*DA+ (Illustrated London news) ; Stuart 1343-1440 (Illustrated London News)","","","","","","NYPG90-S3761","v. ill. (part col.), ports. 38-43 cm.","","The Illustrated London News & Sketch Ltd.","London",1,"http://digitalcollections.nypl.org/collections/c924e710-c618-012f-1ccd-58d385a7bc34"
"ccc9d130-c618-012f-4e76-58d385a7bc34",29042,"Obadiah Rich collection, 1450-1843.","","Rich, O. (Obadiah) (1777-1850)","","","","","","Ownership and Custodial History Note: MSS 88M50","Discovery and exploration","","America","","","","","b15855207","","MssCol 2570","","","","","","NYPW92-A228","Originals: 24 linear feet (20 boxes) Copies: 113 microfilm reels.","","","",1,"http://digitalcollections.nypl.org/collections/ccc9d130-c618-012f-4e76-58d385a7bc34"
"6bfce660-c619-012f-4a3c-58d385a7bc34",29073,"A history of the colonization of Africa by alien races, by Sir Harry H. Johnston ... With eight maps by the author and J.G. Bartholomew.","","Johnston, Harry Hamilton, Sir (1858-1927) | Bartholomew, J. G.  (John George) (1860-1920)","1899",1899,"","","","","","","","","","still image","","b11721893","","Sc 960-J (Johnston, H. History of the colonization of Africa. 1899)","","","","","","NYPGR3693600-B","xii, 319 p. VIII maps. 20 cm.","","University Press","Cambridge",6,"http://digitalcollections.nypl.org/collections/6bfce660-c619-012f-4a3c-58d385a7bc34"
"832d14a0-c619-012f-ed1a-58d385a7bc34",29079,"Nueva corónica y buen gobierno","","Guamán Poma de Ayala, Felipe, fl. 1613 | Pease G. Y., Franklin, 1939-1999","1980",1980,"","Spanish | Quechua","","Statement of Responsibility Note: Felipe Guamán Poma de Ayala ; transcripción, prólogo, notas y cronología Franklin Pease.","Indians of South America | Incas","","Peru","","","still image | text","Manuscripts","b10797323","","HBC 83-2125","","","","","","NYPG83-B47064","2 v. : ill. ; 23 cm.","","Biblioteca Ayacucho","Caracas, Venezuela",6,"http://digitalcollections.nypl.org/collections/832d14a0-c619-012f-ed1a-58d385a7bc34"
"a8f2b920-c619-012f-2856-58d385a7bc34",29091,"Theatre magazine.","Our players gallery 1900-Feb. 1901","","Oct. 1900-Apr. 1931",1900,"","","","General Note: Monthly, May 1901-1931","","","","","","","","b11254641","","NBLA+ (Theatre)","","","","","","","53 v. ill. 32-36 cm.","","[The Theatre Magazine Company, etc.]","New York [etc.]",1,"http://digitalcollections.nypl.org/collections/a8f2b920-c619-012f-2856-58d385a7bc34"
"b27c59c0-c619-012f-55d4-58d385a7bc34",29094,"The Architectural review","","",1891,1891,"","English","","General Note: Title from caption.","","","","","","still image | text","Periodicals","b16551416","","3-MQA+ (Architectural review Boston)","","","","","","","30 v. : ill. ; 30-35 cm.","","Bates, Kimball & Guild","Boston, Mass.",1,"http://digitalcollections.nypl.org/collections/b27c59c0-c619-012f-55d4-58d385a7bc34"
"c8496ca0-c619-012f-fb7e-58d385a7bc34",29100,"Comœdia illustré.","","Brunoff, Jacques de",1908,1908,1921,"","","General Note: Editor: 1908-14 M. de Brunoff.","","","","","","","","b15182406","","NAFA+ (Comoedia illustré)","","","","","","2259637","v. : ill. ; 32 cm.","","s.n.","[Paris]",1,"http://digitalcollections.nypl.org/collections/c8496ca0-c619-012f-fb7e-58d385a7bc34"
"9dd8f800-c61a-012f-17c2-58d385a7bc34",29111,"Antiquités mexicaines. Relation des trois expéditions du capitaine Dupaix, ordonnées en 1805, 1806, et 1807, pour la recherche des antiquités du pays, notamment celles de Mitla et de Palenque; accompagnée des dessins de Castañeda et d'une carte du pays exploré; suivie d'un parallèle de ces monuments avec ceux de l'Égypte, de l'Indostan, et du reste de l'ancien monde, par M. Alexandre Lenoir, d'une dissertation sur l'origine de l'ancienne population des deux Amériques et sur les diverses antiquités de ce continent, par M. Warden, avec un discours préliminaire par M. Charles Farcy, et des notes explicatives, et autres documents, par MM. Baradère, de St. Priest, et plusieurs voyageurs que ont parcouru l'Amérique.","","",1834,1834,1836,"","","","","","","","","","","b12868121","","HBC+++ (Antiquités mexicaines)","","","","","","","","","Bureau des Antiquités mexicaines, impr. de J. Didot l'aîné","Paris",6,"http://digitalcollections.nypl.org/collections/9dd8f800-c61a-012f-17c2-58d385a7bc34"
"eada8df0-c61a-012f-cffc-58d385a7bc34",29133,"Nightclubs and theaters","","",1920,1920,1989,"","","General Note: The collection (ca. 1920s-1980s) consists of exterior and interior views of Harlem nightclubs and theaters (1920s-1960s); portraits and candid shots of entertainers, individual musicians, orchestras and chorus girls appearing at or affiliated with specific clubs and theaters (1920s-1960s); and views of nightclub patrons (ca. 1940s). Also depicted are views of clubs located in other parts of New York City; views of crowds gathered outside theaters; reproductions of broadsides and a club menu; studio portraits of club owners; a group portrait of beauty contestants; and maps showing the locations of certain clubs.","Nightclubs | Theaters","","Harlem (New York, N.Y.)","","","still image","Photographs","b16102326","","Sc Photo Nightclubs and theaters","","","","","","NYPG05-F10254","109 items (.3 cu. ft., 1 box)","","","",2,"http://digitalcollections.nypl.org/collections/eada8df0-c61a-012f-cffc-58d385a7bc34"
