"UUID","Database ID","Title","Alternative Title","Contributor","Date","Date Start","Date End","Language","Description","Note","Subject Topical","Subject Name","Subject Geographic","Subject Temporal","Subject Title","Resource Type","Genre","Identifier BNumber","Identifier Accession Number","Identifier Call Number","Identifier ISBN","Identifier ISSN","Identifier Interview ID","Identifier Postcard ID","Identifier LCCN","Identifier OCLC/RLIN","Physical Description Extent","Physical Description Form","Publisher","Place Of Publication","Number of Items","Digital Collections URL"
"9ea5d5b0-1117-0132-7932-58d385a7b928",41502,"The Green Book","","",1936,1936,1967,"English","From the Introduction to the 1949 edition:\n\nWith the introduction of this travel guide in 1936, it has been our idea to give the Negro traveler information that will keep him from running into difficulties, embarrassments and to make his trips more enjoyable.\n\nThe Jewish press has long published information about places that are restricted and there are numerous publications that give the gentile whites all kinds of information. But during these long years of discrimination, before 1936 other guides have been published for the Negro, some are still published, but the majority have gone out of business for various reasons.\n\nIn 1936 the Green Book was only a local publication for Metropolitan New York, the response for copies was so great it was turned into a national issue in 1937 to cover the United States. This guide while lacking in many respects was accepted by thousands of travelers. Through the courtesy of the United States Travel Bureau of which Mr. Chas. A. R. McDowell was the collaborator on Negro Affairs, more valuable information was secured. With the two working together, this guide contained the best ideas for the Negro traveler. Year after year it grew until 1941. ""PM"" one of New York's great white newspapers found out about it. Wrote an article about the guide and praised it highly. At the present time the guide contains 80 pages and lists numerous business places, including whites which cater to the Negro trade.\n\nThere are thousands of first class business places that we don't know about and can't list, which would be glad to serve the traveler, but it is hard to secure listings of these places since we can't secure enough agents to send us the information. Each year before we go to press the new information is included in the new edition.\n\nWhen you are traveling please mention the Green Book, in order that they might know how you found their place of business, as they can see that you are strangers. If they haven't heard about this guide, ask them to get in touch with us so that we might list their place.\n\nIf this guide has proved useful to you on your trips, let us know. If not, tell us also as we appreciate your criticisms and ideas in the improvement of this guide from which you benefit.\n\nThere will be a day sometime in the near future when this guide will not have to be published. That is when we as a race will have equal opportunities and privileges in the United States. It will be a great day for us to suspend this publication for then we can go wherever we please, and without embarrassment. But until that time comes we shall continue to publish this information for your convenience each year.","","Discrimination in public accommodations | Hotels | Bars (Drinking establishments) | Taverns (Inns) | Restaurants | African Americans","","","","","text","Guidebooks","","","","","","","","","","","Pamphlets","Victor H. Green & Company","",21,"http://digitalcollections.nypl.org/collections/9ea5d5b0-1117-0132-7932-58d385a7b928"
"3f5fa550-169e-0132-18df-58d385a7bbd0",41512,"Emily Fowler Ford papers","","Ford, Emily Ellsworth (Fowler), 1826-1893 | Dickinson, Emily, 1830-1886 | Ford, Gordon Lester, 1823-1891 | Ford, Malcolm Webster, 1862-1902 | Ford, Worthington Chauncey, 1858-1941 | Ford, Paul Leicester, 1865-1902 | Ford, Kathleen | Ford, Mabel | Ford, Rosalie | Fowler, William Chauncey, 1793-1881 | Skeel, Emily Ellsworth Ford, 1867-1958 | Webster, Noah, 1758-1843 | Ford family | Fowler family",1744,1744,1893,"English","Emily Ellsworth (Fowler) Ford was an educated nineteenth-century women who wrote prolifically from adolescence until her death in 1893. Her work was published in a variety of contemporary literary journals, magazines, and newspapers. She was the granddaughter of Noah Webster and wife of Gordon Lester Ford, a prominent businessman and lawyer, with whom she raised their seven children. Ford was involved in many charitable organizations around her home in Brooklyn and was well-known within social and literary circles. The collection consists of family and general correspondence, Ford's published and unpublished writing, notes and keepsakes, and a small number of photographs. The material spans parts of her childhood in Amherst through her death in 1893.","General Note: Related collections include the Ford Family Papers, Gordon Lester Ford Papers, Paul Leicester Ford Papers, Worthington C. Ford Papers, and the Emily Ellsworth Ford Skeel Papers; Manuscripts and Archives Division; The New York Public Library.","Authors and publishers | Poets, American | Women poets, American | Social life and customs","Ford, Emily Ellsworth (Fowler), 1826-1893 | Ford family | Fowler family","Brooklyn (New York, N.Y.) | Massachusetts","19th century","","text | still image","diaries | Photographs | poems | Scrapbooks | Correspondence","b11635596","","MssCol 1038","","","","","","NYPW92-A196","6.34 linear feet (16 boxes)","","","",1,"http://digitalcollections.nypl.org/collections/3f5fa550-169e-0132-18df-58d385a7bbd0"
"a2ad9470-1a61-0132-9f5b-58d385a7bbd0",41517,"Pratt Institute monthly","","",1892,1892,1904,"English","","","","","","","","","Periodicals","b15011296","","SSMC+ (Pratt Institute monthly)","","","","","","","12 v. ill.","","","Brooklyn",1,"http://digitalcollections.nypl.org/collections/a2ad9470-1a61-0132-9f5b-58d385a7bbd0"
"2f25cdd0-1a7d-0132-1045-58d385a7bbd0",41520,"war between the United States and Mexico illustrated: embracing pictorial drawings of all the principal conflicts","","Kendall, Geo. Wilkins (George Wilkins), 1809-1867 | Nebel, Carl","1851",1851,"","English","","Citation/References Note: Phillips, 3686","Mexican War, 1846-1848 | Campaigns | Illustrated books | History | 19th century","","","","","text","","b12714613","","Stuart 48","","","","","","","iv, 52 p. 12 col. pl. 39 cm.","","D. Appleton & company; [etc., etc.]","New York",1,"http://digitalcollections.nypl.org/collections/2f25cdd0-1a7d-0132-1045-58d385a7bbd0"
"e77a6cb0-1b44-0132-7cfb-58d385a7bbd0",41524,"Elements of phrenology","","Combe, George, 1788-1858","1835",1835,"","English","","","Phrenology","","","","","text","Book illustrations","b13407859","","YEZ (Combe, G. Elements of phrenology)","","","","","","","xii, 204 p. : ill. ; 19 cm.","","Marsh, Capen & Lyon","Boston",1,"http://digitalcollections.nypl.org/collections/e77a6cb0-1b44-0132-7cfb-58d385a7bbd0"
"07b8ef10-1b49-0132-0bd8-58d385a7bbd0",41525,"Cherokee advocate","Cherokee advocate (Tahlequah, Okla. : 1844)","Ross, William P. (William Potter), 1820-1891 | Ross, Daniel Hicks | Vann, James Shepherd | Boudinot, William Penn | Adair, John L. (John Lynch), 1828-1896 | Johnson, George Washington | Boudinot, Elias C. (Elias Cornelius), 1835-1890 | Wyly, Robert Fletcher. | Adair, Hugh Montgomery | Butler, George Oliver | Hudson, Waddie. | Siquichie, Joseph R. | Loeser, William T. | Melton, Wiley J. | Cherokee Nation, National Council.",1844,1844,1906,"English | Cherokee","","Note: ""Published ... by provision of the Cherokee National Council."" Cf. G.E. Ray.  Early Oklahoma newspapers","Cherokee Indians | Indians of North America","","","","","text","Periodicals | Newspapers","b12638656","","*KSC","","","","","","","v. : ill. ; 51-67 cm","","s.n.]","Tahlequah, Cherokee Nation [Okla",1,"http://digitalcollections.nypl.org/collections/07b8ef10-1b49-0132-0bd8-58d385a7bbd0"
"acc876a0-1c0a-0132-c5a7-58d385a7b928",41528,"Peter Joseph Krahe: Leben und Werk","","Dorn, Reinhard | Krahe, Peter Joseph, 1758-1840","1969-",1969,"","","","Bibliography, etc. Note: Bibliography: v. 1, p. 286-294.","Architects","Krahe, Peter Joseph, 1758-1840","Germany","","","text","Books","b13961395","","MQZ (Krahe) (Dorn, R. Peter Joseph Krahe)","","","","","","","v. illus., facsims., ports. 29cm.","Illustrations | Designs and plans","Klinkhardt & Biermann","Braunschweig",2,"http://digitalcollections.nypl.org/collections/acc876a0-1c0a-0132-c5a7-58d385a7b928"
"9a94f750-1cba-0132-fe2a-58d385a7b928",41531,"Collection of decorative engravings by Remondini","","Remondini family","1750",1750,"","","","Statement of Responsibility Note: Remondini family (Italian, active 17th - 19th centuries) (Publisher)","","","","","","still image","Prints","","","96349&96395","","","","","","","","Engravings","","",1,"http://digitalcollections.nypl.org/collections/9a94f750-1cba-0132-fe2a-58d385a7b928"
"2469d1c0-2014-0132-c4d5-58d385a7bbd0",41533,"Thom's official directory of the United Kingdom of Great Britain and Ireland","","",1881,1881,1926,"English","","","Directories","","Great Britain","","","text | cartographic","Directories","b20552380","","CA (Thom's official directory of the United Kingdom of Great Britain and Ireland)","","","","","","","v. ; 23 cm","","","Dublin",1,"http://digitalcollections.nypl.org/collections/2469d1c0-2014-0132-c4d5-58d385a7bbd0"
"e43c4590-20b9-0132-83d1-58d385a7b928",41534,"American cloak and suit review","","",1912,1912,1937,"English","","","Coats | Cloaks | Costume--History--20th century","","","","","text","Periodicals | Reviews","b11957762","","3-VLVA+ (American cloak and suit review)","","","","","","","v. 42 cm.","","","New York",1,"http://digitalcollections.nypl.org/collections/e43c4590-20b9-0132-83d1-58d385a7b928"
