"UUID","Database ID","Title","Alternative Title","Contributor","Date","Date Start","Date End","Language","Description","Note","Subject Topical","Subject Name","Subject Geographic","Subject Temporal","Subject Title","Resource Type","Genre","Identifier BNumber","Identifier Accession Number","Identifier Call Number","Identifier ISBN","Identifier ISSN","Identifier Interview ID","Identifier Postcard ID","Identifier LCCN","Identifier OCLC/RLIN","Physical Description Extent","Physical Description Form","Publisher","Place Of Publication","Number of Items","Digital Collections URL"
"5cd94760-c52a-012f-bcd4-3c075448cc4b",25776,"Maps of North America.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",563,"http://digitalcollections.nypl.org/collections/5cd94760-c52a-012f-bcd4-3c075448cc4b"
"b50ab6f0-c52b-012f-5986-58d385a7bc34",25779,"Cigarette cards","Cigarette cards","",1900,1900,1999,"","This collection consists of approximately 100,000 cigarette cards from various countries, i.e. United States, Australia, Great Britain, China, South Africa, and other places, depicting actors and actresses, aircraft, art treasures, sport champions, etc.","","","","","","","still image","Cigarette cards","b15262620","","Arents Cigarette Cards","","","","","","","","","","",90,"http://digitalcollections.nypl.org/collections/b50ab6f0-c52b-012f-5986-58d385a7bc34"
"2589a880-c52c-012f-2cb4-58d385a7bc34",25780,"Billy Rose Theatre Collection photograph file","","",1865,1865,2005,"","","","Motion pictures | Vaudeville | Puppet theater | Actors | Actresses","","","","","still image","Photographs","","","","","","","","","","","","","",381,"http://digitalcollections.nypl.org/collections/2589a880-c52c-012f-2cb4-58d385a7bc34"
"02d1c8f0-c52d-012f-a615-58d385a7bc34",25781,"Thomas Addis Emmet collection, 1483-1876, bulk (1700-1800)","","Emmet, Thomas Addis (1828-1919)",1483,1483,1876,"","","","","","","","","text","Manuscripts","b11868616","","MssCol 927","","","","","","","","","","",5161,"http://digitalcollections.nypl.org/collections/02d1c8f0-c52d-012f-a615-58d385a7bc34"
"16ad5350-c52e-012f-aecf-58d385a7bc34",25782,"Print Collection portrait file","","",1800,1800,1929,"","","","public figures | Biography","","","","","still image | text","Clippings | Portraits | Illustrations | Prints | Photographs | Caricatures | Cartes de visite","","","","","","","","","","","","","",10,"http://digitalcollections.nypl.org/collections/16ad5350-c52e-012f-aecf-58d385a7bc34"
"5261fd50-c52e-012f-85ec-58d385a7bc34",25783,"Robert N. Dennis collection of stereoscopic views","","",1850,1850,1930,"","","","","","","","","still image","Stereoscopic views","","","","","","","","","","Approx. 72,000 stereoscopic views : 10 x 18 cm. or smaller.","","","",5,"http://digitalcollections.nypl.org/collections/5261fd50-c52e-012f-85ec-58d385a7bc34"
"79d4a650-c52e-012f-67ad-58d385a7bc34",25784,"Mid-Manhattan Picture Collection","","","","","","","","","","","","","","still image","Clippings (Books, newspapers, etc.) | Prints | Postcards | Photographs","","","","","","","","","","","","","",25,"http://digitalcollections.nypl.org/collections/79d4a650-c52e-012f-67ad-58d385a7bc34"
"a301da20-c52e-012f-cc55-58d385a7bc34",25785,"Photographic views of New York City, 1870's-1970's, from the collections of the New York Public Library","","",1870,1870,1980,"","Approximately 54,000 New York City photographs (and their captioned versos), primarily of exterior building views and neighborhood scenes, from the 1870s-1970s, arranged by borough and street. Photographers whose work is represented in this collection include Alexander Alland, A. Tennyson Beals and his wife Jessie Tarbox Beals, Ewing Galloway, Samuel H. Gottscho, Fay Sturtevant Lincoln, Irving Underhill, as well as Percy Loomis Sperr (1890-1964), who produced nearly 30,000 of the collection's photographs. The work of photo agencies such as Brown Brothers, Culver Service, International Photos, Underwood and Underwood, and Wurtz Brothers is also included.","","","","New York (N.Y.)","","","still image","Photographs","b19806373","","AZ 12-2335","","","","","","839909840","206 boxes (ca. 69,473 photographs) : b&w ; various sizes.","","","New York, NY.",1,"http://digitalcollections.nypl.org/collections/a301da20-c52e-012f-cc55-58d385a7bc34"
"51894d20-c52f-012f-657d-58d385a7bc34",25786,"The Vinkhuijzen collection of military uniforms","Prints and drawings collected by H.J. Vinkhuijzen","Vinkhuijzen, Hendrik Jacobus","","","","English","","Statement of Responsibility Note: Prints and drawings collected by H.J. Vinkhuijzen","Military uniforms | History","","","","","still image","Scrapbooks | Drawings","b14896507","","8-MMEH (Vinkhuijzen collection of military uniforms)","","","","","","45057766","","","","",30925,"http://digitalcollections.nypl.org/collections/51894d20-c52f-012f-657d-58d385a7bc34"
"e5114e30-c52f-012f-993c-58d385a7bc34",25789,"The Buttolph collection of menus","","Buttolph, Frank E., Miss (d. 1924)",1851,1851,1930,"","","General Note: Collection of menus made for the New York Public Library by F.E. Buttolph","","","","","","text","Menus","","","","","","","","","","","","","",17947,"http://digitalcollections.nypl.org/collections/e5114e30-c52f-012f-993c-58d385a7bc34"
"1e6dd2f0-c530-012f-c1f8-58d385a7bc34",25791,"New York World's Fair 1939-1940 records","","New York World's Fair (1939-1940)",1935,1935,1945,"","","","Exhibitions","New York World's Fair (1939-1940)","New York (State) | New York","","","text | still image","Architectural drawings | artifacts | Ephemera | Photographs | Posters | Archival Materials","b11686556","","MssCol 2233","","","","","","NYPW93-A6","","","","",1,"http://digitalcollections.nypl.org/collections/1e6dd2f0-c530-012f-c1f8-58d385a7bc34"
"45013f40-c555-012f-c94a-3c075448cc4b",25794,"Billy Rose Theatre Division scrapbooks","","","","","","","","","","","","","","text | still image","Scrapbooks","","","","","","","","","","","","","",13,"http://digitalcollections.nypl.org/collections/45013f40-c555-012f-c94a-3c075448cc4b"
"35301010-c58d-012f-1196-58d385a7bc34",25795,"American popular songs.","","","","","","","","","","","","","","notated music","Sheet music covers | Sheet music","","","","","","","","","","","","","",4725,"http://digitalcollections.nypl.org/collections/35301010-c58d-012f-1196-58d385a7bc34"
"31f99010-c59f-012f-3027-58d385a7bc34",25799,"Yaddo records","","Yaddo (Artists colony)s colony)",1870,1870,1980,"English","","","","Yaddo (Artist’s colony) | Artist colonies","United States","","","text | still image","Archival materials | Documents | Correspondence | Photographs","b15804557","","MssCol 4795","","","","","","","","","","",1,"http://digitalcollections.nypl.org/collections/31f99010-c59f-012f-3027-58d385a7bc34"
"a1a9d830-c5a6-012f-00ec-58d385a7bc34",25800,"Maps of New York City and State","","","","","","","","","","","","","","cartographic","Atlases | Maps","","","","","","","","","","","","","",1459,"http://digitalcollections.nypl.org/collections/a1a9d830-c5a6-012f-00ec-58d385a7bc34"
"a71baeb0-c5b2-012f-595e-58d385a7bc34",25805,"New York Public Library Visual Materials","","",1875,1875,"","","","","","New York Public Library","","","","mixed material","Photographs | blueprints | prints | Transparencies | Drawings","b11524053","","MssArc RG10 5928","","","","","","","","","","",4,"http://digitalcollections.nypl.org/collections/a71baeb0-c5b2-012f-595e-58d385a7bc34"
"a0108230-c5b9-012f-ed50-58d385a7bc34",25808,"Children's book illustrations","","","","","","","","","","","","","","still image","Illustrations","","","","","","","","","","","","","",5,"http://digitalcollections.nypl.org/collections/a0108230-c5b9-012f-ed50-58d385a7bc34"
"507f3140-c5bb-012f-2213-58d385a7bc34",25809,"Robinson Locke Collection, 1870-1920.","Robinson Locke Collection of Dramatic Scrapbooks.","Locke, Robinson (1856-1920)",1870,1870,1920,"","","General Note: The Robinson Locke Collection consists of dramatic scrapbooks and portfolios containing clippings, programs, photographs, prints, and letters documenting American theater history.","","","","","","mixed material","Photographs | Programs | Clippings | Scrapbooks","b14635247","","*T-MSS 1924-001","","","","","","NYPW93-A320","","","","",20,"http://digitalcollections.nypl.org/collections/507f3140-c5bb-012f-2213-58d385a7bc34"
"c2628420-c5bc-012f-cb3c-58d385a7bc34",25810,"Robert Brewster Stanton papers, 1851-1960, bulk (1890-1950)","","Stanton, Robert Brewster (1846-1922)",1851,1851,1960,"","","","","","","","","mixed material","Diaries | photographs | Maps | field notes","b11343714","","MssCol 2860","","","","","","NYPW89-A633","10.2 linear feet (19 boxes, 5 v., 9 packages, map folders)","","","",70,"http://digitalcollections.nypl.org/collections/c2628420-c5bc-012f-cb3c-58d385a7bc34"
"954eecd0-c5bf-012f-9413-58d385a7bc34",25812,"Samuel J. Tilden papers, 1794-1886, bulk (1835-1876).","","Tilden, Samuel J. (Samuel Jones) (1814-1886)",1794,1794,1886,"","","Ownership and Custodial History Note: MSS 86M75","","New York Public Library | Tammany Hall | Tilden, Samuel J. (Samuel Jones), 1814-1886","","","","mixed material","Documents | Correspondence | personal papers","b11652246","","MssCol 2993","","","","","","NYPW92-A241","49.4 linear feet (99 boxes, 13 v.)","","","",1561,"http://digitalcollections.nypl.org/collections/954eecd0-c5bf-012f-9413-58d385a7bc34"
"3acb82b0-c5c2-012f-ae84-58d385a7bc34",25814,"Holiday postcards","","","","","","","","","Holidays | Birthdays","","","","","still image","Postcards","","","","","","","","","","","","","",2,"http://digitalcollections.nypl.org/collections/3acb82b0-c5c2-012f-ae84-58d385a7bc34"
"a398f150-c5c8-012f-4c72-58d385a7bc34",25817,"Circle in the Square papers","","",1906,1906,2004,"English","","","","","","","","text | still image","Promotional materials | Photographs | technical drawings | Documents | Correspondence | scores","b17055067","","T-Mss 2005-005","","","","","","","","","","",1,"http://digitalcollections.nypl.org/collections/a398f150-c5c8-012f-4c72-58d385a7bc34"
"d533f0b0-c5ca-012f-d4a0-58d385a7bc34",25818,"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.","","","","","","","","General Note: Listed in De Ricci, Seymour, Census of Medieval and Renaissance Manuscripts in the United States and Canada. New York. N.Y.: H.W. Wilson, 1935; and Supplement, New York, N.Y.: Bibliographical Society of America, 1962.","","","","","","still image","illuminated manuscripts","b12455533","","","","","","","","NYPW89-A695","","","","",1537,"http://digitalcollections.nypl.org/collections/d533f0b0-c5ca-012f-d4a0-58d385a7bc34"
"07430830-c5d1-012f-bd22-58d385a7bc34",25823,"Pacific pursuits : Postcards","","",1900,1900,1940,"","","","","","","","","still image","postcards","","","","","","","","","","","Postcards","","",619,"http://digitalcollections.nypl.org/collections/07430830-c5d1-012f-bd22-58d385a7bc34"
